barcode	filename	checksum	analysis_id	uploaded	modified
TCGA-D3-A1Q9-06A-11D-A19A-08	C828.TCGA-D3-A1Q9-06A-11D-A19A-08.2.bam	a293c9880a10bd9c5b66226c8c4f4775	28cb3f45-5456-4efd-a11b-dc40aac0fd40	9/22/13	9/22/13
TCGA-D3-A1QA-10A-01D-A198-08	C828.TCGA-D3-A1QA-10A-01D-A198-08.2.bam	d39e8eab324da34a4967aaabbab50426	867b2767-4023-4a3b-946d-039cf048dcfe	9/22/13	9/22/13
TCGA-D3-A1QA-06A-11D-A196-08	C828.TCGA-D3-A1QA-06A-11D-A196-08.2.bam	058ad22e30acf85a15e4f2e2e0fc1e7c	5c0623bb-ba9c-4342-b23d-54c111084edb	9/22/13	9/22/13
TCGA-D3-A1QB-10A-01D-A19A-08	C828.TCGA-D3-A1QB-10A-01D-A19A-08.2.bam	51518ab6279633d7a55b2401a9e11dfe	f88a095e-0c42-4836-9bcf-8e77a7e69768	9/22/13	9/22/13
TCGA-D3-A1QB-06A-11D-A19A-08	C828.TCGA-D3-A1QB-06A-11D-A19A-08.2.bam	57c44c486ca308b3b6888fc3b02a5e17	a97bb692-cff7-44a2-b395-20072a3b69d9	9/22/13	9/22/13
TCGA-D3-A2J6-10A-01D-A19A-08	C828.TCGA-D3-A2J6-10A-01D-A19A-08.3.bam	819676b77b4c4090bf182f9acc3ae225	c97ef9ca-ec14-4f38-991c-ee43f7c03546	9/22/13	9/22/13
TCGA-D3-A2J6-06A-11D-A19A-08	C828.TCGA-D3-A2J6-06A-11D-A19A-08.3.bam	c30fe29b0fd0e2676233eb6968345f5b	a47131c5-c8a2-49aa-9917-2bd052fc86ec	9/22/13	9/22/13
TCGA-D3-A2J7-10A-01D-A198-08	C828.TCGA-D3-A2J7-10A-01D-A198-08.3.bam	2c345a32fddcb67e16835ea68c5578a5	e5dc9dd0-0b10-40bf-a3dc-b07b9cec9175	9/22/13	9/22/13
TCGA-D3-A2J7-06A-11D-A196-08	C828.TCGA-D3-A2J7-06A-11D-A196-08.3.bam	2b41c37b7296e031afc45ed60c3cb033	c657476c-3a02-4e36-9b5d-2015b9ec3c4c	9/22/13	9/22/13
TCGA-D3-A2J8-10A-01D-A198-08	C828.TCGA-D3-A2J8-10A-01D-A198-08.3.bam	3ab848f02be295d7f5934d34cec37d8d	633de24a-cbf2-4acf-8faa-1233c05705db	9/22/13	9/22/13
TCGA-D3-A2J8-06A-11D-A196-08	C828.TCGA-D3-A2J8-06A-11D-A196-08.3.bam	ca1bdc4574c55e5e26da77cf30138b70	46d7508b-a476-4f14-b53a-7a4f90f1493b	9/22/13	9/22/13
TCGA-D3-A2J9-10A-01D-A198-08	C828.TCGA-D3-A2J9-10A-01D-A198-08.2.bam	e578b95288617e2b640b3df1548cc0f9	b10a7da1-724f-4085-90d2-d3c5f27b5e49	9/22/13	9/22/13
TCGA-D3-A2J9-06A-11D-A196-08	C828.TCGA-D3-A2J9-06A-11D-A196-08.2.bam	ec6327f9eba7fe77ce730ef2705905c2	fb4f7a85-3b3f-4ddf-8156-a5b04817251c	9/22/13	9/22/13
TCGA-D3-A2JA-10A-01D-A198-08	C828.TCGA-D3-A2JA-10A-01D-A198-08.2.bam	5a267a61004f237dccd67e84b7c03cdd	21faff4c-61e4-4b87-9bdf-8794661ea914	9/22/13	9/22/13
TCGA-D3-A2JA-06A-11D-A196-08	C828.TCGA-D3-A2JA-06A-11D-A196-08.2.bam	919327b0301021bdc390241cdc9064e4	587ed078-aa32-46ba-9f87-9cdeb5a1bffa	9/22/13	9/22/13
TCGA-D3-A2JB-10A-01D-A198-08	C828.TCGA-D3-A2JB-10A-01D-A198-08.2.bam	35b80ffc1cc0e3e1598e607b38fdf6d4	309031b6-2235-409a-ad4c-a0f08754a3eb	9/22/13	9/22/13
TCGA-D3-A2JB-06A-11D-A196-08	C828.TCGA-D3-A2JB-06A-11D-A196-08.2.bam	5468ef50de14a2bb80b2efce23496647	a90441d8-58c2-4a9e-b6d0-78d8bfbc3b7d	9/22/13	9/22/13
TCGA-D3-A2JC-10A-01D-A19A-08	C828.TCGA-D3-A2JC-10A-01D-A19A-08.3.bam	03a151d56e542786685a4ae2c04fc811	3a3b51e5-65a9-4486-869d-12889be6d598	9/22/13	9/22/13
TCGA-D3-A2JC-06A-11D-A19A-08	C828.TCGA-D3-A2JC-06A-11D-A19A-08.3.bam	87510adf2d9e5643557e36002f7ce158	e5029064-21f0-4f2c-84e4-38dd859516b6	9/22/13	9/22/13
TCGA-D3-A2JD-10A-01D-A19A-08	C828.TCGA-D3-A2JD-10A-01D-A19A-08.2.bam	c1935f1f155f8fe36c7f11bb2745be64	042e2b05-37bb-4f56-b12d-7c7d9fe6e978	9/22/13	9/22/13
TCGA-D3-A2JD-06A-11D-A19A-08	C828.TCGA-D3-A2JD-06A-11D-A19A-08.2.bam	4e72b8f9433d69035b0d439f74b6d7f2	e376642c-6cc6-43c5-bd56-0c159d77df7d	9/22/13	9/22/13
TCGA-D3-A2JF-10A-01D-A198-08	C828.TCGA-D3-A2JF-10A-01D-A198-08.2.bam	b4a9f3f4cae64cfa82672d934a477442	8a3d21d8-50cc-4ce3-83f4-5e14cb597309	9/22/13	9/22/13
TCGA-D3-A2JF-06A-11D-A196-08	C828.TCGA-D3-A2JF-06A-11D-A196-08.2.bam	32c0021766adf90634f99adf2d0e4d6f	ff83c95d-4d27-4002-a627-723e5569c010	9/22/13	9/22/13
TCGA-D3-A2JG-10A-01D-A198-08	C828.TCGA-D3-A2JG-10A-01D-A198-08.3.bam	faaae3ab6358e9d2fa7804b9e3d4b447	81044597-4eba-495d-bb20-349289877dc2	9/22/13	9/22/13
TCGA-D3-A2JG-06A-11D-A196-08	C828.TCGA-D3-A2JG-06A-11D-A196-08.3.bam	77b391781bb9173f9fb9be4982a289bf	1e1e8f6a-7359-4ea3-bcd9-08365fc69d32	9/22/13	9/22/13
TCGA-D3-A2JH-10A-01D-A198-08	C828.TCGA-D3-A2JH-10A-01D-A198-08.3.bam	b790f7ec1967fdaa9222e3df21147ea1	7fed8c5c-1d1b-45a0-a9db-f3651c5c1868	9/22/13	9/22/13
TCGA-D3-A2JH-06A-11D-A196-08	C828.TCGA-D3-A2JH-06A-11D-A196-08.3.bam	ed92f8bd3e104e340962fa15d0104855	0c510079-cb12-4094-aac2-4250d6d90280	9/22/13	9/22/13
TCGA-D3-A2JK-10A-01D-A198-08	C828.TCGA-D3-A2JK-10A-01D-A198-08.2.bam	5ab686d76560c89a7294dd4aa2ac98b6	b35c9714-e233-4a9e-b896-bbfadbb91415	9/22/13	9/22/13
TCGA-D3-A2JK-06A-11D-A196-08	C828.TCGA-D3-A2JK-06A-11D-A196-08.2.bam	9a9cd690b2fd9f21f972be6c19b2d2b6	2500966a-5f25-481c-8676-cf8362b2a5d2	9/22/13	9/22/13
TCGA-D3-A2JL-10A-01D-A198-08	C828.TCGA-D3-A2JL-10A-01D-A198-08.2.bam	22296090383c0694e30127447495af6b	833e5cc4-e0a1-41d6-a116-66bfa9bc8702	9/22/13	9/22/13
TCGA-D3-A2JL-06A-11D-A196-08	C828.TCGA-D3-A2JL-06A-11D-A196-08.2.bam	2d5ddce225cbe803b1d4d6469bc0decc	c93248dd-4290-4266-823b-6d5f18102ed5	9/22/13	9/22/13
TCGA-D3-A2JN-10A-01D-A198-08	C828.TCGA-D3-A2JN-10A-01D-A198-08.2.bam	15914ac34c6c99a2663e2e33c2e2252a	fb1c07ed-a61c-47f8-9c7f-ca6f9b00f122	9/22/13	9/22/13
TCGA-D3-A2JN-06A-11D-A196-08	C828.TCGA-D3-A2JN-06A-11D-A196-08.2.bam	4d6ff45dc3ae635368797cd12bf40cb8	09d9841b-1263-4537-b594-8857307a3959	9/22/13	9/22/13
TCGA-D3-A2JO-10A-01D-A198-08	C828.TCGA-D3-A2JO-10A-01D-A198-08.3.bam	bb683c92e5e04d5bec525966a88b98a0	a87563c4-7280-4c8d-9776-8c702cc7f7c7	9/22/13	9/22/13
TCGA-D3-A2JO-06A-11D-A196-08	C828.TCGA-D3-A2JO-06A-11D-A196-08.3.bam	b72e060d46fe0170bf3bab60bb779db5	aae22d4d-22a4-46d9-8f85-c09952b047fd	9/22/13	9/22/13
TCGA-D3-A2JP-10A-01D-A19A-08	C828.TCGA-D3-A2JP-10A-01D-A19A-08.3.bam	aa0fbc099cd8d8784b9446c167fa40a7	80b56af8-ed21-422e-8149-4d5da37b2247	9/22/13	9/22/13
TCGA-D3-A2JP-06A-11D-A19A-08	C828.TCGA-D3-A2JP-06A-11D-A19A-08.3.bam	edb8630d70fecca6981fea9c5983020b	307b1387-3c41-4422-99ab-5391c7bfd0bb	9/22/13	9/22/13
TCGA-D3-A3BZ-10A-01D-A198-08	C828.TCGA-D3-A3BZ-10A-01D-A198-08.2.bam	25f785b155a84564f5b597add815e8df	99649f33-cd36-466b-b7d6-81ecc8c14ab5	9/22/13	9/22/13
TCGA-D3-A3BZ-06A-12D-A196-08	C828.TCGA-D3-A3BZ-06A-12D-A196-08.2.bam	2f4e8388fd42105d2788ce34e84ce8b4	a8d1d213-b84b-41ad-8cec-a59b64938b1b	9/22/13	9/22/13
TCGA-D3-A3C1-10A-01D-A198-08	C828.TCGA-D3-A3C1-10A-01D-A198-08.3.bam	ee5dcbea6818c75f5e436283cec5f4d2	98197273-26cd-4ba6-9602-555d3e5199d4	9/22/13	9/22/13
TCGA-D3-A3C1-06A-12D-A196-08	C828.TCGA-D3-A3C1-06A-12D-A196-08.3.bam	df452941f28edd1d618eed7c4c7a54b9	97ef2635-80e8-4a58-8d54-4e588e767870	9/22/13	9/22/13
TCGA-D3-A3C3-10A-01D-A19A-08	C828.TCGA-D3-A3C3-10A-01D-A19A-08.3.bam	c61151e1dc4cc689d15f60ea666c10bf	e7875b22-f0a3-482f-bf14-31f16bc219f8	9/22/13	9/22/13
TCGA-D3-A3C3-06A-12D-A19A-08	C828.TCGA-D3-A3C3-06A-12D-A19A-08.3.bam	da4dbcf5cc17b7e81677c1cfb2de6d09	7b3056cd-782d-43d2-a0ad-f0eac5c79821	9/22/13	9/22/13
TCGA-D3-A3C6-10A-01D-A198-08	C828.TCGA-D3-A3C6-10A-01D-A198-08.3.bam	e41783f653bb868ed8eab417b85c83e3	56d14d42-229f-47e2-9882-506b5c4bcd22	9/22/13	9/22/13
TCGA-D3-A3C6-06A-12D-A196-08	C828.TCGA-D3-A3C6-06A-12D-A196-08.3.bam	8b3a73b2f38238e6b0b611c87e357fa3	c5cd56ab-54ad-4bb1-aba3-307ac7fae3d9	9/22/13	9/22/13
TCGA-D3-A3C7-10A-01D-A198-08	C828.TCGA-D3-A3C7-10A-01D-A198-08.2.bam	bb04c8a2cf6003e5cd467d061359a3a6	af8a12ad-5802-495a-a364-6317a638fea1	9/22/13	9/22/13
TCGA-D3-A3C7-06A-11D-A196-08	C828.TCGA-D3-A3C7-06A-11D-A196-08.2.bam	c095423dd49e30bfb0da499cb68cae5a	162928d7-12db-48b8-a933-d0709e7745c7	9/22/13	9/22/13
TCGA-D3-A3C8-10A-01D-A19A-08	C828.TCGA-D3-A3C8-10A-01D-A19A-08.3.bam	56b0c9800ddcd9edbdbf2a4d1e8af130	88d1ff5f-929d-40ce-8e64-f4fb8df5ed37	9/22/13	9/22/13
TCGA-D3-A3C8-06A-12D-A19A-08	C828.TCGA-D3-A3C8-06A-12D-A19A-08.3.bam	4d98ae5fb0e7220e9e58e36f46e8f445	3acaad7d-c4cc-44ac-b878-3e8a92511971	9/22/13	9/22/13
TCGA-D3-A3CB-10A-01D-A198-08	C828.TCGA-D3-A3CB-10A-01D-A198-08.2.bam	416047856872754caf50e194849ce55f	2dbece47-4b0a-4daa-8287-ae17a4359d03	9/22/13	9/22/13
TCGA-D3-A3CB-06A-11D-A196-08	C828.TCGA-D3-A3CB-06A-11D-A196-08.2.bam	2388e4dd7ce0c5ce468f9d6681aa6430	b8348f6e-7153-4cb5-ae6c-a4c49717a559	9/22/13	9/22/13
TCGA-D3-A3CC-10A-01D-A19A-08	C828.TCGA-D3-A3CC-10A-01D-A19A-08.2.bam	3cdbbdebb1f0d1205a98b2a06e060f52	21f4b040-7d0a-4530-a49b-8c8100ab658a	9/22/13	9/22/13
TCGA-D3-A3CC-06A-11D-A19A-08	C828.TCGA-D3-A3CC-06A-11D-A19A-08.2.bam	66df205e85ac1ffc0d0569cb1dd59efb	99ef8be8-1f2f-437a-b712-27476251bff0	9/22/13	9/22/13
TCGA-D3-A3CE-10A-01D-A19A-08	C828.TCGA-D3-A3CE-10A-01D-A19A-08.3.bam	5a921ae674f41a24be1302d24cf67b7a	0c069518-3066-452b-bf75-c5b270fb24f8	9/22/13	9/22/13
TCGA-D3-A3CE-06A-11D-A19A-08	C828.TCGA-D3-A3CE-06A-11D-A19A-08.3.bam	4701ffad61711a488a293d6583ce0d7e	e77831c0-8b42-41e2-93ac-ee3a1268ccdf	9/22/13	9/22/13
TCGA-D3-A3CF-10A-01D-A198-08	C828.TCGA-D3-A3CF-10A-01D-A198-08.2.bam	780ed1cf6b38186609ddff99cb67ea1b	71949c01-ba36-4d59-8131-4dd502bff8cf	9/22/13	9/22/13
TCGA-D3-A3CF-06A-11D-A196-08	C828.TCGA-D3-A3CF-06A-11D-A196-08.2.bam	96bc0480becf55a8fca64e4addebb1fd	2b1b365e-1c99-4f6a-8e3e-532cd8c453e3	9/22/13	9/22/13
TCGA-D3-A3ML-10A-01D-A21A-08	C828.TCGA-D3-A3ML-10A-01D-A21A-08.2.bam	ce2bce37734d404e64406312e9a6e87e	01bec889-1440-4688-8d93-eeefb6cf1ab5	9/26/13	9/26/13
TCGA-D3-A3ML-06A-11D-A21A-08	C828.TCGA-D3-A3ML-06A-11D-A21A-08.2.bam	b19977f62acaa9360d56d33533ee1ebf	9a38748e-ed51-4e44-a3f9-2023a18fe0a6	9/22/13	9/22/13
TCGA-D3-A3MO-10A-01D-A21A-08	C828.TCGA-D3-A3MO-10A-01D-A21A-08.2.bam	06353b511c2e3fd227a6fa7042785781	1ef64f3f-a297-43a3-96ee-417079c62579	9/25/13	9/25/13
TCGA-D3-A3MO-06A-11D-A21A-08	C828.TCGA-D3-A3MO-06A-11D-A21A-08.2.bam	717a17dc695d2a2195f00426f1b24951	dc36f261-3241-48b0-a62c-418f3d12e8f2	9/22/13	9/22/13
TCGA-D3-A3MR-10A-01D-A21A-08	C828.TCGA-D3-A3MR-10A-01D-A21A-08.2.bam	2a9a58aceb893b1f2f2bb554de4427c8	91aa89fa-3614-48dd-b5d0-d5c7f82f6175	9/25/13	9/25/13
TCGA-D3-A3MR-06A-11D-A21A-08	C828.TCGA-D3-A3MR-06A-11D-A21A-08.2.bam	1e16266224db988dae185951bc54610f	444b8721-999d-4d9b-a089-134c0291405e	9/22/13	9/22/13
TCGA-D3-A3MU-10A-01D-A21A-08	C828.TCGA-D3-A3MU-10A-01D-A21A-08.2.bam	2653a6c9ca99cecf2a9c3a1abf059dd9	56b39ce9-43f3-45f4-9d87-76ab45117999	9/23/13	9/24/13
TCGA-D3-A3MU-06A-11D-A21A-08	C828.TCGA-D3-A3MU-06A-11D-A21A-08.2.bam	55dbe821671161af2aba80100f229c4b	8290c764-385c-4656-a485-63557639cfcf	9/22/13	9/22/13
TCGA-D3-A3MV-10A-01D-A21A-08	C828.TCGA-D3-A3MV-10A-01D-A21A-08.2.bam	26591f112652e18b01423ae7d9bb6274	1345d45f-2d5e-49b7-ba85-0575b43c9a85	9/25/13	9/25/13
TCGA-D3-A3MV-06A-11D-A21A-08	C828.TCGA-D3-A3MV-06A-11D-A21A-08.2.bam	be76171e0942b13d04fcb0cd2fb00934	7adb7390-646e-4736-93d0-d9b3815da5f8	9/22/13	9/22/13
TCGA-D3-A51E-10A-01D-A25O-08	C828.TCGA-D3-A51E-10A-01D-A25O-08.3.bam	2164ac154b2d660f929c8f3b047b5668	20fffd1c-72a1-4c30-83a2-1c3186a2f1df	5/2/13	5/16/13
TCGA-D3-A51E-06A-11D-A25O-08	C828.TCGA-D3-A51E-06A-11D-A25O-08.3.bam	ee06f5038a8627ec23bbd97828e58d81	3277714e-6bdf-4d6f-97fb-ce804dc9e39d	5/2/13	5/16/13
TCGA-D3-A51F-10A-01D-A25O-08	C828.TCGA-D3-A51F-10A-01D-A25O-08.3.bam	2d3cb0ddc8801ee3235e4887941c79b3	3a671667-580d-4fb9-89c6-cbc1ed94f7cf	5/2/13	5/16/13
TCGA-D3-A51F-06A-11D-A25O-08	C828.TCGA-D3-A51F-06A-11D-A25O-08.3.bam	e0dfd5113712e6d40005ebf571a4cfa1	468d2781-0b43-4f76-a9ff-ce1162c4833c	5/2/13	5/16/13
TCGA-D3-A51G-10A-01D-A25O-08	C828.TCGA-D3-A51G-10A-01D-A25O-08.3.bam	817cdf73e697b2883b35f2d40a2763a9	99395828-26c4-4edc-ac22-7f408426c91e	5/2/13	5/16/13
TCGA-D3-A51G-06A-11D-A25O-08	C828.TCGA-D3-A51G-06A-11D-A25O-08.3.bam	ba0280df950a28468daeb78ac46cb187	0f7e363b-1d5d-4456-958e-1365d6dd7dd8	5/2/13	5/16/13
TCGA-D3-A51H-10A-01D-A25O-08	C828.TCGA-D3-A51H-10A-01D-A25O-08.3.bam	25186a446cd29730f097ba6735477e14	bdb0e0cc-ebf5-49da-81df-6fb86fef2cd6	5/2/13	5/16/13
TCGA-D3-A51H-06A-12D-A25O-08	C828.TCGA-D3-A51H-06A-12D-A25O-08.3.bam	a24685e6b2b057c1e4a8e54b30119b95	2c37fd88-3e97-46b6-8263-c70ad785dc58	5/2/13	5/16/13
TCGA-D3-A51J-10A-01D-A25O-08	C828.TCGA-D3-A51J-10A-01D-A25O-08.3.bam	6c18fac481c27f6d3087f450c3a398a1	d8d25630-52a8-44c8-9efe-0d653bd35acd	5/2/13	5/16/13
TCGA-D3-A51J-06A-11D-A25O-08	C828.TCGA-D3-A51J-06A-11D-A25O-08.3.bam	73b52fd146d4f97c7f7300173549c193	0f638bf8-7081-4772-ab36-6ae2da042141	5/2/13	5/16/13
